# Evaluation of time performance
# Allocs	Time(ms)
100	0.044000 ms
110	0.027000 ms
120	0.032000 ms
130	0.026000 ms
140	0.028000 ms
150	0.030000 ms
160	0.033000 ms
170	0.035000 ms
180	0.036000 ms
190	0.039000 ms
200	0.042000 ms
210	0.045000 ms
220	0.046000 ms
230	0.046000 ms
240	0.047000 ms
250	0.052000 ms
260	0.054000 ms
270	0.057000 ms
280	0.057000 ms
290	0.064000 ms
300	0.062000 ms
310	0.065000 ms
320	0.066000 ms
330	0.068000 ms
340	0.073000 ms
350	0.071000 ms
360	0.076000 ms
370	0.078000 ms
380	0.105000 ms
390	0.085000 ms
400	0.082000 ms
410	0.085000 ms
420	0.094000 ms
430	0.094000 ms
440	0.092000 ms
450	0.095000 ms
460	0.099000 ms
470	0.097000 ms
480	0.100000 ms
490	0.101000 ms
500	0.111000 ms
510	0.110000 ms
520	0.110000 ms
530	0.113000 ms
540	0.113000 ms
550	0.114000 ms
560	0.117000 ms
570	0.122000 ms
580	0.123000 ms
590	0.125000 ms
600	0.126000 ms
610	0.125000 ms
620	0.130000 ms
630	0.142000 ms
640	0.136000 ms
650	0.137000 ms
660	0.148000 ms
670	0.142000 ms
680	0.148000 ms
690	0.153000 ms
700	0.157000 ms
710	0.147000 ms
720	0.155000 ms
730	0.159000 ms
740	0.164000 ms
750	0.183000 ms
760	0.175000 ms
770	0.173000 ms
780	0.167000 ms
790	0.165000 ms
800	0.167000 ms
810	0.177000 ms
820	0.176000 ms
830	0.175000 ms
840	0.201000 ms
850	0.196000 ms
860	0.182000 ms
870	0.182000 ms
880	0.185000 ms
890	0.183000 ms
900	0.189000 ms
910	0.192000 ms
920	0.195000 ms
930	0.197000 ms
940	0.200000 ms
950	0.203000 ms
960	0.216000 ms
970	0.207000 ms
980	0.209000 ms
990	0.214000 ms
1000	0.212000 ms
