# Evaluation of time performance
# Allocs	Time(ms)
100	0.036000
101	0.022000
102	0.022000
103	0.031000
104	0.022000
105	0.020000
106	0.022000
107	0.022000
108	0.022000
109	0.020000
110	0.027000
111	0.022000
112	0.022000
113	0.021000
114	0.023000
115	0.023000
116	0.023000
117	0.023000
118	0.023000
119	0.024000
120	0.029000
121	0.023000
122	0.023000
123	0.025000
124	0.025000
125	0.026000
126	0.025000
127	0.026000
128	0.028000
129	0.029000
130	0.027000
131	0.027000
132	0.026000
133	0.025000
134	0.025000
135	0.026000
136	0.030000
137	0.028000
138	0.028000
139	0.027000
140	0.027000
141	0.029000
142	0.029000
143	0.028000
144	0.028000
145	0.030000
146	0.028000
147	0.029000
148	0.031000
149	0.031000
150	0.030000
151	0.031000
152	0.031000
153	0.032000
154	0.030000
155	0.031000
156	0.033000
157	0.030000
158	0.031000
159	0.033000
160	0.050000
161	0.032000
162	0.034000
163	0.031000
164	0.033000
165	0.047000
166	0.031000
167	0.028000
168	0.029000
169	0.060000
170	0.042000
171	0.036000
172	0.034000
173	0.035000
174	0.033000
175	0.034000
176	0.036000
177	0.037000
178	0.035000
179	0.040000
180	0.037000
181	0.037000
182	0.039000
183	0.037000
184	0.038000
185	0.038000
186	0.038000
187	0.040000
188	0.039000
189	0.039000
190	0.040000
191	0.050000
192	0.033000
193	0.035000
194	0.034000
195	0.036000
196	0.036000
197	0.036000
198	0.034000
199	0.034000
200	0.035000
201	0.037000
202	0.037000
203	0.038000
204	0.036000
205	0.037000
206	0.037000
207	0.037000
208	0.037000
209	0.039000
210	0.037000
211	0.036000
212	0.039000
213	0.040000
214	0.037000
215	0.039000
216	0.037000
217	0.039000
218	0.040000
219	0.038000
220	0.042000
221	0.042000
222	0.039000
223	0.038000
224	0.039000
225	0.039000
226	0.040000
227	0.043000
228	0.042000
229	0.043000
230	0.040000
231	0.042000
232	0.040000
233	0.040000
234	0.042000
235	0.042000
236	0.044000
237	0.046000
238	0.045000
239	0.042000
240	0.044000
241	0.043000
242	0.042000
243	0.044000
244	0.046000
245	0.045000
246	0.045000
247	0.045000
248	0.044000
249	0.047000
250	0.045000
251	0.045000
252	0.056000
253	0.069000
254	0.064000
255	0.051000
256	0.053000
257	0.052000
258	0.052000
259	0.053000
260	0.054000
261	0.054000
262	0.052000
263	0.052000
264	0.056000
265	0.053000
266	0.053000
267	0.051000
268	0.056000
269	0.053000
270	0.070000
271	0.055000
272	0.056000
273	0.057000
274	0.057000
275	0.062000
276	0.057000
277	0.059000
278	0.056000
279	0.059000
280	0.058000
281	0.075000
282	0.075000
283	0.061000
284	0.060000
285	0.064000
286	0.064000
287	0.063000
288	0.061000
289	0.060000
290	0.059000
291	0.061000
292	0.062000
293	0.082000
294	0.075000
295	0.063000
296	0.061000
297	0.062000
298	0.061000
299	0.075000
300	0.062000
301	0.063000
302	0.066000
303	0.076000
304	0.062000
305	0.077000
306	0.072000
307	0.065000
308	0.065000
309	0.071000
310	0.068000
311	0.075000
312	0.100000
313	0.068000
314	0.074000
315	0.073000
316	0.078000
317	0.069000
318	0.067000
319	0.067000
320	0.067000
321	0.070000
322	0.071000
323	0.065000
324	0.070000
325	0.066000
326	0.072000
327	0.070000
328	0.100000
329	0.074000
330	0.072000
331	0.092000
332	0.082000
333	0.083000
334	0.070000
335	0.072000
336	0.070000
337	0.069000
338	0.068000
339	0.072000
340	0.070000
341	0.074000
342	0.073000
343	0.070000
344	0.073000
345	0.105000
346	0.083000
347	0.074000
348	0.074000
349	0.072000
350	0.076000
351	0.074000
352	0.073000
353	0.073000
354	0.075000
355	0.077000
356	0.076000
357	0.075000
358	0.075000
359	0.075000
360	0.081000
361	0.075000
362	0.080000
363	0.077000
364	0.075000
365	0.076000
366	0.076000
367	0.079000
368	0.079000
369	0.081000
370	0.079000
371	0.080000
372	0.082000
373	0.080000
374	0.076000
375	0.093000
376	0.081000
377	0.099000
378	0.136000
379	0.083000
380	0.087000
381	0.078000
382	0.081000
383	0.080000
384	0.083000
385	0.081000
386	0.079000
387	0.084000
388	0.083000
389	0.082000
390	0.081000
391	0.085000
392	0.084000
393	0.083000
394	0.083000
395	0.081000
396	0.082000
397	0.084000
398	0.087000
399	0.082000
400	0.086000
401	0.090000
402	0.088000
403	0.097000
404	0.095000
405	0.085000
406	0.082000
407	0.089000
408	0.089000
409	0.085000
410	0.099000
411	0.138000
412	0.093000
413	0.089000
414	0.088000
415	0.088000
416	0.089000
417	0.089000
418	0.087000
419	0.091000
420	0.088000
421	0.090000
422	0.090000
423	0.091000
424	0.089000
425	0.090000
426	0.089000
427	0.091000
428	0.091000
429	0.090000
430	0.092000
431	0.093000
432	0.091000
433	0.093000
434	0.091000
435	0.114000
436	0.102000
437	0.139000
438	0.099000
439	0.093000
440	0.095000
441	0.097000
442	0.092000
443	0.092000
444	0.092000
445	0.093000
446	0.096000
447	0.096000
448	0.095000
449	0.107000
450	0.096000
451	0.099000
452	0.100000
453	0.096000
454	0.097000
455	0.096000
456	0.095000
457	0.096000
458	0.105000
459	0.100000
460	0.100000
461	0.101000
462	0.098000
463	0.096000
464	0.099000
465	0.100000
466	0.098000
467	0.103000
468	0.101000
469	0.102000
470	0.103000
471	0.099000
472	0.099000
473	0.101000
474	0.105000
475	0.101000
476	0.105000
477	0.099000
478	0.104000
479	0.104000
480	0.102000
481	0.105000
482	0.104000
483	0.104000
484	0.100000
485	0.103000
486	0.103000
487	0.105000
488	0.105000
489	0.100000
490	0.107000
491	0.107000
492	0.106000
493	0.105000
494	0.107000
495	0.108000
496	0.109000
497	0.110000
498	0.110000
499	0.108000
500	0.106000
501	0.109000
502	0.107000
503	0.107000
504	0.109000
505	0.116000
506	0.111000
507	0.112000
508	0.111000
509	0.106000
510	0.106000
511	0.110000
512	0.117000
513	0.129000
514	0.110000
515	0.129000
516	0.129000
517	0.110000
518	0.143000
519	0.112000
520	0.112000
521	0.113000
522	0.109000
523	0.109000
524	0.111000
525	0.111000
526	0.112000
527	0.121000
528	0.097000
529	0.103000
530	0.101000
531	0.101000
532	0.097000
533	0.098000
534	0.099000
535	0.122000
536	0.115000
537	0.111000
538	0.112000
539	0.117000
540	0.119000
541	0.116000
542	0.111000
543	0.116000
544	0.121000
545	0.115000
546	0.115000
547	0.114000
548	0.117000
549	0.129000
550	0.117000
551	0.120000
552	0.119000
553	0.122000
554	0.117000
555	0.120000
556	0.120000
557	0.121000
558	0.122000
559	0.119000
560	0.115000
561	0.119000
562	0.117000
563	0.119000
564	0.123000
565	0.126000
566	0.124000
567	0.118000
568	0.119000
569	0.125000
570	0.125000
571	0.123000
572	0.120000
573	0.122000
574	0.122000
575	0.123000
576	0.121000
577	0.123000
578	0.122000
579	0.120000
580	0.120000
581	0.124000
582	0.129000
583	0.124000
584	0.126000
585	0.122000
586	0.127000
587	0.126000
588	0.127000
589	0.124000
590	0.129000
591	0.128000
592	0.130000
593	0.128000
594	0.127000
595	0.134000
596	0.124000
597	0.124000
598	0.141000
599	0.112000
600	0.109000
601	0.111000
602	0.108000
603	0.113000
604	0.114000
605	0.113000
606	0.112000
607	0.113000
608	0.146000
609	0.143000
610	0.132000
611	0.133000
612	0.131000
613	0.131000
614	0.132000
615	0.133000
616	0.133000
617	0.129000
618	0.132000
619	0.136000
620	0.131000
621	0.130000
622	0.130000
623	0.132000
624	0.142000
625	0.137000
626	0.134000
627	0.141000
628	0.135000
629	0.144000
630	0.135000
631	0.136000
632	0.138000
633	0.139000
634	0.141000
635	0.138000
636	0.139000
637	0.134000
638	0.142000
639	0.135000
640	0.138000
641	0.137000
642	0.139000
643	0.144000
644	0.144000
645	0.160000
646	0.171000
647	0.170000
648	0.154000
649	0.172000
650	0.156000
651	0.160000
652	0.170000
653	0.179000
654	0.163000
655	0.168000
656	0.152000
657	0.169000
658	0.181000
659	0.150000
660	0.145000
661	0.148000
662	0.147000
663	0.145000
664	0.155000
665	0.176000
666	0.157000
667	0.158000
668	0.144000
669	0.145000
670	0.147000
671	0.143000
672	0.143000
673	0.155000
674	0.144000
675	0.145000
676	0.146000
677	0.145000
678	0.147000
679	0.147000
680	0.155000
681	0.151000
682	0.148000
683	0.153000
684	0.147000
685	0.147000
686	0.149000
687	0.153000
688	0.148000
689	0.149000
690	0.150000
691	0.146000
692	0.174000
693	0.157000
694	0.151000
695	0.160000
696	0.152000
697	0.150000
698	0.162000
699	0.153000
700	0.151000
701	0.151000
702	0.153000
703	0.152000
704	0.148000
705	0.152000
706	0.151000
707	0.151000
708	0.153000
709	0.152000
710	0.152000
711	0.155000
712	0.153000
713	0.158000
714	0.158000
715	0.153000
716	0.155000
717	0.154000
718	0.159000
719	0.156000
720	0.158000
721	0.159000
722	0.161000
723	0.154000
724	0.158000
725	0.159000
726	0.153000
727	0.159000
728	0.152000
729	0.160000
730	0.156000
731	0.154000
732	0.162000
733	0.165000
734	0.162000
735	0.161000
736	0.156000
737	0.159000
738	0.159000
739	0.161000
740	0.169000
741	0.160000
742	0.157000
743	0.160000
744	0.161000
745	0.164000
746	0.161000
747	0.161000
748	0.162000
749	0.159000
750	0.160000
751	0.167000
752	0.166000
753	0.160000
754	0.161000
755	0.158000
756	0.170000
757	0.166000
758	0.163000
759	0.167000
760	0.168000
761	0.162000
762	0.160000
763	0.161000
764	0.173000
765	0.167000
766	0.164000
767	0.168000
768	0.166000
769	0.164000
770	0.167000
771	0.171000
772	0.170000
773	0.169000
774	0.171000
775	0.170000
776	0.166000
777	0.166000
778	0.166000
779	0.168000
780	0.161000
781	0.169000
782	0.166000
783	0.164000
784	0.171000
785	0.173000
786	0.170000
787	0.168000
788	0.174000
789	0.160000
790	0.181000
791	0.171000
792	0.149000
793	0.159000
794	0.149000
795	0.149000
796	0.151000
797	0.182000
798	0.159000
799	0.160000
800	0.161000
801	0.161000
802	0.170000
803	0.152000
804	0.157000
805	0.160000
806	0.156000
807	0.159000
808	0.164000
809	0.150000
810	0.152000
811	0.150000
812	0.153000
813	0.155000
814	0.152000
815	0.150000
816	0.154000
817	0.155000
818	0.154000
819	0.153000
820	0.150000
821	0.152000
822	0.155000
823	0.156000
824	0.155000
825	0.159000
826	0.160000
827	0.156000
828	0.163000
829	0.153000
830	0.153000
831	0.159000
832	0.163000
833	0.163000
834	0.163000
835	0.153000
836	0.157000
837	0.159000
838	0.160000
839	0.160000
840	0.160000
841	0.160000
842	0.162000
843	0.215000
844	0.265000
845	0.163000
846	0.166000
847	0.158000
848	0.157000
849	0.157000
850	0.164000
851	0.158000
852	0.167000
853	0.157000
854	0.164000
855	0.157000
856	0.165000
857	0.164000
858	0.165000
859	0.165000
860	0.163000
861	0.157000
862	0.162000
863	0.164000
864	0.164000
865	0.158000
866	0.162000
867	0.163000
868	0.165000
869	0.166000
870	0.168000
871	0.165000
872	0.168000
873	0.188000
874	0.168000
875	0.170000
876	0.175000
877	0.180000
878	0.169000
879	0.166000
880	0.161000
881	0.170000
882	0.167000
883	0.167000
884	0.166000
885	0.169000
886	0.168000
887	0.166000
888	0.166000
889	0.168000
890	0.174000
891	0.172000
892	0.169000
893	0.167000
894	0.170000
895	0.165000
896	0.173000
897	0.169000
898	0.172000
899	0.170000
900	0.169000
901	0.168000
902	0.168000
903	0.176000
904	0.171000
905	0.171000
906	0.173000
907	0.168000
908	0.173000
909	0.173000
910	0.171000
911	0.168000
912	0.173000
913	0.170000
914	0.173000
915	0.174000
916	0.176000
917	0.179000
918	0.178000
919	0.169000
920	0.173000
921	0.171000
922	0.177000
923	0.180000
924	0.177000
925	0.177000
926	0.176000
927	0.179000
928	0.173000
929	0.176000
930	0.174000
931	0.177000
932	0.174000
933	0.174000
934	0.174000
935	0.173000
936	0.178000
937	0.177000
938	0.179000
939	0.177000
940	0.178000
941	0.180000
942	0.175000
943	0.175000
944	0.184000
945	0.180000
946	0.175000
947	0.183000
948	0.177000
949	0.184000
950	0.186000
951	0.175000
952	0.176000
953	0.182000
954	0.182000
955	0.180000
956	0.183000
957	0.186000
958	0.177000
959	0.179000
960	0.185000
961	0.179000
962	0.196000
963	0.211000
964	0.182000
965	0.184000
966	0.187000
967	0.189000
968	0.186000
969	0.184000
970	0.189000
971	0.190000
972	0.184000
973	0.184000
974	0.182000
975	0.181000
976	0.188000
977	0.182000
978	0.183000
979	0.187000
980	0.188000
981	0.182000
982	0.184000
983	0.186000
984	0.184000
985	0.190000
986	0.193000
987	0.189000
988	0.186000
989	0.189000
990	0.188000
991	0.192000
992	0.184000
993	0.190000
994	0.192000
995	0.187000
996	0.189000
997	0.188000
998	0.195000
999	0.191000
1000	0.188000
