# Evaluation of time performance
# Allocs	Time(ms)
100	0.038000 ms
110	0.024000 ms
120	0.026000 ms
130	0.027000 ms
140	0.030000 ms
150	0.030000 ms
160	0.034000 ms
170	0.036000 ms
180	0.038000 ms
190	0.040000 ms
200	0.044000 ms
210	0.047000 ms
220	0.046000 ms
230	0.049000 ms
240	0.052000 ms
250	0.053000 ms
260	0.056000 ms
270	0.058000 ms
280	0.061000 ms
290	0.064000 ms
300	0.064000 ms
310	0.067000 ms
320	0.069000 ms
330	0.070000 ms
340	0.074000 ms
350	0.075000 ms
360	0.079000 ms
370	0.081000 ms
380	0.084000 ms
390	0.083000 ms
400	0.086000 ms
410	0.089000 ms
420	0.093000 ms
430	0.096000 ms
440	0.095000 ms
450	0.105000 ms
460	0.125000 ms
470	0.105000 ms
480	0.107000 ms
490	0.108000 ms
500	0.114000 ms
510	0.115000 ms
520	0.116000 ms
530	0.119000 ms
540	0.120000 ms
550	0.119000 ms
560	0.126000 ms
570	0.126000 ms
580	0.127000 ms
590	0.132000 ms
600	0.135000 ms
610	0.135000 ms
620	0.143000 ms
630	0.141000 ms
640	0.144000 ms
650	0.150000 ms
660	0.146000 ms
670	0.149000 ms
680	0.156000 ms
690	0.157000 ms
700	0.156000 ms
710	0.162000 ms
720	0.162000 ms
730	0.163000 ms
740	0.170000 ms
750	0.168000 ms
760	0.173000 ms
770	0.177000 ms
780	0.174000 ms
790	0.175000 ms
800	0.179000 ms
810	0.185000 ms
820	0.201000 ms
830	0.211000 ms
840	0.216000 ms
850	0.227000 ms
860	0.232000 ms
870	0.225000 ms
880	0.227000 ms
890	0.233000 ms
900	0.235000 ms
910	0.240000 ms
920	0.208000 ms
930	0.213000 ms
940	0.211000 ms
950	0.226000 ms
960	0.249000 ms
970	0.249000 ms
980	0.261000 ms
990	0.224000 ms
1000	0.230000 ms
