# Evaluation of time performance
# Allocs	Time(ms)
100	0.039000
110	0.022000
120	0.024000
130	0.026000
140	0.026000
150	0.028000
160	0.031000
170	0.033000
180	0.035000
190	0.048000
200	0.040000
210	0.060000
220	0.035000
230	0.037000
240	0.040000
250	0.042000
260	0.044000
270	0.046000
280	0.047000
290	0.049000
300	0.051000
310	0.052000
320	0.054000
330	0.080000
340	0.067000
350	0.067000
360	0.070000
370	0.071000
380	0.075000
390	0.076000
400	0.076000
410	0.082000
420	0.080000
430	0.094000
440	0.085000
450	0.104000
460	0.092000
470	0.094000
480	0.096000
490	0.099000
500	0.102000
510	0.107000
520	0.108000
530	0.108000
540	0.111000
550	0.139000
560	0.115000
570	0.130000
580	0.121000
590	0.121000
600	0.125000
610	0.121000
620	0.125000
630	0.129000
640	0.130000
650	0.134000
660	0.132000
670	0.136000
680	0.137000
690	0.141000
700	0.143000
710	0.157000
720	0.145000
730	0.150000
740	0.155000
750	0.156000
760	0.159000
770	0.159000
780	0.162000
790	0.163000
800	0.166000
810	0.167000
820	0.166000
830	0.178000
840	0.171000
850	0.175000
860	0.178000
870	0.209000
880	0.207000
890	0.190000
900	0.186000
910	0.203000
920	0.192000
930	0.191000
940	0.196000
950	0.199000
960	0.200000
970	0.234000
980	0.256000
990	0.244000
1000	0.223000
